Pays;Pourcentage de population urbaine;Croissance annuelle du PIB par habitant en %;PIB par habitant en US$;Stabilité politique;Émissions de CO2 par personne imputables à l'élevage;Densité des poulets dans la superficie agricole par habitant;Part des poulets dans l'élevage en %;Taux de dépendance aux importations de viande de volaille en %;Taux d'autosuffisance en viande de volaille en %
Pérou;80.25847482703595;7.378694;7906.584586;-0.52178555727005;0.68;0.08;20.84;5.5643879173290935;94.38261791202967
Qatar;97.95567896419098;-12.260992;71499.478474;0.993381142616272;0.21;4.33;58.11;70.66666666666667;19.333333333333332
Roumanie;54.649085839935275;18.662864;18347.511045;0.373643964529037;0.56;0.06;20.25;27.346938775510203;102.24489795918367
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;84.30049362169325;7.771907;49224.063694;0.514935672283173;0.57;0.1;11.19;35.61544064093226;72.17771303714494
Rwanda;17.900026450303994;3.56684;1010.281074;0.108091473579407;0.19;0.02;3.03;15.384615384615385;84.61538461538461
République arabe syrienne;52.25252804420736;-21.83676;1230.270396;-2.75060677528381;0.26;0.01;5.38;15.873015873015872;84.12698412698413
République de Corée;81.7866673041057;2.272768;35538.223566;0.609834730625153;0.19;1.16;25.06;23.11320754716981;77.20125786163521
République de Moldova;56.22832214458751;12.877437;5393.392331;-0.683699607849121;0.26;0.21;70.25;33.33333333333333;66.66666666666666
République dominicaine;85.17687124959129;6.015137;10717.627198;0.239014014601707;0.72;0.9;49.18;11.738148984198645;88.26185101580135
République démocratique du Congo;44.02235128095751;8.017365;655.434796;-2.04486203193665;0.04;0.01;10.47;87.65432098765432;12.345679012345679
République démocratique populaire lao;37.173315096308635;-3.655037;1957.999133;0.814461767673492;1.11;0.23;12.28;19.298245614035086;80.7017543859649
République-Unie de Tanzanie;38.517434865491865;3.130025;1213.43354;-0.0527516007423401;0.95;0.01;1.75;8.333333333333332;90.74074074074075
Saint-Kitts-et-Nevis;38.65434791907268;7.679548;22624.926137;0.923393249511719;0.21;0.13;16.37;100.0;0.0
Saint-Vincent-et-les Grenadines;59.671545453648235;11.079438;10767.551162;1.01801919937134;0.12;0.35;32.79;100.0;0.0
Sainte-Lucie;19.589480436177038;3.441606;13554.806281;1.01801919937134;0.18;0.48;27.78;83.33333333333334;8.333333333333332
Samoa;16.461047802347426;19.663351;4764.68861;1.09818840026855;0.69;0.09;8.0;106.25;0.0
Sao Tomé-et-Principe;76.88795907671384;23.064915;2962.984377;0.44070503115654;0.07;0.05;17.37;75.0;25.0
Serbie;72.59418404975727;18.601367;11100.677882;-0.0391097068786621;0.56;0.04;10.66;16.666666666666664;88.19444444444444
Seychelles;44.59675969707153;2.070959;16734.776062;0.763500511646271;0.04;1.71;52.71;80.0;20.0
Sierra Leone;44.72144239024778;-11.890354;757.858331;-0.238688722252846;0.22;0.06;22.39;58.490566037735846;41.509433962264154
