Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EK","Tendances dans l’élevage","116","Cambodge","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","128170","E","Valeur estimée"
"EK","Tendances dans l’élevage","120","Cameroun","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.05","E","Valeur estimée"
"EK","Tendances dans l’élevage","120","Cameroun","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","9.65","E","Valeur estimée"
"EK","Tendances dans l’élevage","120","Cameroun","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","476880","E","Valeur estimée"
"EK","Tendances dans l’élevage","124","Canada","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.03","E","Valeur estimée"
"EK","Tendances dans l’élevage","124","Canada","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","10.12","E","Valeur estimée"
"EK","Tendances dans l’élevage","124","Canada","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","1714870","E","Valeur estimée"
"EK","Tendances dans l’élevage","152","Chili","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.05","E","Valeur estimée"
"EK","Tendances dans l’élevage","152","Chili","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","14.31","E","Valeur estimée"
"EK","Tendances dans l’élevage","152","Chili","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","523450","E","Valeur estimée"
"EK","Tendances dans l’élevage","159","Chine","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.1","E","Valeur estimée"
"EK","Tendances dans l’élevage","159","Chine","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","19.79","E","Valeur estimée"
"EK","Tendances dans l’élevage","159","Chine","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","53251170","E","Valeur estimée"
"EK","Tendances dans l’élevage","344","Chine - RAS de Hong-Kong","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","10.55","E","Valeur estimée"
"EK","Tendances dans l’élevage","344","Chine - RAS de Hong-Kong","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","57.25","E","Valeur estimée"
"EK","Tendances dans l’élevage","344","Chine - RAS de Hong-Kong","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","42190","E","Valeur estimée"
"EK","Tendances dans l’élevage","446","Chine - RAS de Macao","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","100","E","Valeur estimée"
"EK","Tendances dans l’élevage","446","Chine - RAS de Macao","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","8190","E","Valeur estimée"
"EK","Tendances dans l’élevage","156","Chine, continentale","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.1","E","Valeur estimée"
"EK","Tendances dans l’élevage","156","Chine, continentale","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","19.57","E","Valeur estimée"
"EK","Tendances dans l’élevage","156","Chine, continentale","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","52173620","E","Valeur estimée"
