Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","064","Bhoutan","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","786.385","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","064","Bhoutan","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","479.424","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","064","Bhoutan","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","382.078","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","068","Bolivie (État plurinational de)","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","12244.159","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","068","Bolivie (État plurinational de)","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","3467.659","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","068","Bolivie (État plurinational de)","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","8567.158","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","535","Bonaire, Saint-Eustache et Saba","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","29.898","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","535","Bonaire, Saint-Eustache et Saba","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","6.608","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","535","Bonaire, Saint-Eustache et Saba","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","20.219","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","070","Bosnie-Herzégovine","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","3185.073","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","070","Bosnie-Herzégovine","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","1728.254","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","070","Bosnie-Herzégovine","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","1746.955","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","072","Botswana","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","2480.244","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","072","Botswana","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","688.191","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","072","Botswana","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","1848.155","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","076","Brésil","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","211140.729","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","076","Brésil","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","26614.424","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","076","Brésil","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","191322.786","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","096","Brunéi Darussalam","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","458.949","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","096","Brunéi Darussalam","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","95.801","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","096","Brunéi Darussalam","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","363.647","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","100","Bulgarie","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","6795.803","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","100","Bulgarie","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","1583.081","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","100","Bulgarie","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","5211.414","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","854","Burkina Faso","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","23025.776","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","854","Burkina Faso","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","15331.318","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","854","Burkina Faso","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","7388.364","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","108","Burundi","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","13689.45","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","108","Burundi","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","11120.085","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","108","Burundi","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","1929.218","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","132","Cabo Verde","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","522.331","X","Chiffre de source externe",""
